experiment,exploration_steps,type_of_similarity,partial_pipeline_id,min_to_terminal_similarity,max_to_terminal_similarity,explanation_satisfied
17,3,manhattan,03a5aad0-edbe-470f-afde-ea36860fbac6,5.403841447425066,26.6620480180477,False
17,3,cosine,03a5aad0-edbe-470f-afde-ea36860fbac6,0.9868790783353745,0.6315996616169619,True
17,3,euclidian,03a5aad0-edbe-470f-afde-ea36860fbac6,0.16326762969861394,0.8588980034879581,False
17,4,manhattan,03a5aad0-edbe-470f-afde-ea36860fbac6,5.078647610969938,26.564277146640734,False
17,4,cosine,03a5aad0-edbe-470f-afde-ea36860fbac6,0.984668376949219,0.6293260883726685,True
17,4,euclidian,03a5aad0-edbe-470f-afde-ea36860fbac6,0.16204918297334994,0.8588381177716078,False
17,5,manhattan,03a5aad0-edbe-470f-afde-ea36860fbac6,5.212501998178368,26.531147927223174,False
17,5,cosine,03a5aad0-edbe-470f-afde-ea36860fbac6,0.9852089567480236,0.6285625200889267,True
17,5,euclidian,03a5aad0-edbe-470f-afde-ea36860fbac6,0.1643607354582963,0.8591907242281539,False
17,6,manhattan,03a5aad0-edbe-470f-afde-ea36860fbac6,4.481210980598462,26.67659283904345,False
17,6,cosine,03a5aad0-edbe-470f-afde-ea36860fbac6,0.9832905744920367,0.6361725073215311,True
17,6,euclidian,03a5aad0-edbe-470f-afde-ea36860fbac6,0.16232717729145998,0.8577850562026141,False
